y1;y2;y3;votou2010;denuncia;corrup_lavajato;corrup_ou_incomp;novo_politica;militar;lula;demo_dita;escola;rendaf;cor;idade1;idade;sexo
1;5;5;1;1;1;2;3;3;1;1;2;1;3;37;3;1
5;2;4;2;1;3;1;2;1;2;1;2;2;1;43;3;1
1;2;5;2;1;3;1;2;3;.;3;5;1;3;31;2;2
1;5;3;1;1;1;2;1;2;1;1;2;1;5;37;3;1
1;5;5;2;1;1;2;3;3;2;1;4;4;3;43;3;1
5;5;4;1;1;2;2;1;3;2;2;3;.;3;23;1;2
1;5;3;3;1;1;2;3;3;1;1;5;2;3;24;1;1
2;2;3;2;1;3;2;2;2;2;3;1;1;1;74;5;1
5;5;5;2;1;1;1;3;3;2;2;2;1;3;35;3;1
5;5;5;2;2;3;2;3;2;1;2;5;2;2;44;3;1
1;5;5;1;1;1;1;3;3;1;1;4;2;3;27;2;2
1;5;3;3;1;1;2;3;3;1;1;6;3;2;26;2;1
1;1;4;2;1;.;2;1;1;2;.;2;1;1;57;4;2
4;1;5;2;1;3;2;3;2;2;1;5;1;3;27;2;2
5;5;5;1;1;1;1;2;2;1;.;5;1;1;63;5;2
5;2;5;2;1;3;2;2;3;2;2;2;1;1;75;5;2
1;5;5;3;1;3;2;1;2;1;3;5;2;3;21;1;2
5;2;4;1;1;3;1;1;3;1;3;5;4;2;57;4;2
1;5;5;2;1;3;1;3;3;1;3;2;1;3;41;3;1
1;5;4;3;1;1;1;3;3;1;1;5;2;3;24;1;1
2;2;5;2;1;1;2;3;3;2;3;5;1;3;38;3;2
2;1;3;2;1;1;1;1;2;2;3;3;1;3;37;3;2
1;5;5;3;1;3;1;3;3;1;.;1;1;2;59;4;1
1;5;5;1;1;2;1;3;1;1;2;2;1;1;87;5;1
1;5;5;3;1;3;1;2;3;.;3;5;1;3;37;3;2
5;1;5;2;1;3;2;2;1;1;1;4;1;1;34;2;1
1;5;3;1;1;3;1;3;3;1;2;7;2;3;20;1;2
1;5;5;2;1;3;2;2;2;2;3;5;1;1;36;3;2
5;5;5;2;.;2;1;1;2;2;1;2;2;3;46;4;1
1;1;5;2;1;2;1;3;3;2;3;2;2;98;42;3;2
1;5;5;3;1;1;1;1;2;1;1;6;2;3;21;1;2
1;5;4;3;1;1;1;3;1;1;2;5;1;1;64;5;1
1;2;.;3;.;3;1;2;3;1;3;4;2;3;19;1;2
2;5;4;3;1;2;1;2;3;1;1;5;2;1;18;1;2
1;5;3;2;2;3;1;2;3;2;3;2;2;3;56;4;1
2;1;5;1;1;3;.;1;1;1;1;5;4;1;51;4;2
1;5;3;2;1;3;.;1;2;2;1;5;1;3;21;1;1
1;5;.;3;1;3;2;1;3;2;3;3;1;3;17;1;2
1;5;5;3;1;3;2;1;3;1;3;3;2;3;33;2;1
1;2;5;3;1;3;1;3;3;1;3;5;1;3;18;1;1
1;5;5;3;1;1;1;3;1;1;2;7;5;1;44;3;2
4;1;.;3;.;3;1;1;1;1;2;4;2;98;52;4;1
5;2;.;3;.;.;.;.;1;2;1;5;1;3;37;3;2
1;5;5;1;1;1;1;2;2;1;1;7;3;3;33;2;1
1;5;5;2;1;3;1;1;3;2;3;1;1;3;51;4;1
1;5;5;3;1;3;1;2;2;1;2;8;3;1;32;2;2
1;5;5;1;1;3;1;2;3;1;3;7;2;1;27;2;1
1;5;2;3;2;1;2;2;3;1;1;4;3;3;65;5;1
2;5;5;2;1;1;1;3;2;2;1;3;2;3;27;2;2
5;5;3;1;1;1;2;2;2;1;1;5;3;3;35;3;1
1;5;4;2;1;1;1;3;3;2;1;5;1;3;21;1;2
5;4;4;1;1;1;1;3;2;1;.;5;1;98;39;3;2
1;5;5;2;1;3;2;3;3;1;1;5;1;1;64;5;1
1;5;5;3;1;1;1;1;2;1;1;5;1;1;19;1;1
1;5;5;2;1;3;1;.;3;1;1;4;4;3;38;3;2
1;5;4;1;1;1;1;2;2;1;1;5;1;3;33;2;1
1;5;5;1;1;1;2;1;3;1;2;2;2;3;44;3;1
1;5;.;1;1;3;2;2;2;2;2;3;1;3;23;1;2
1;5;4;2;1;1;1;1;2;1;1;2;2;3;23;1;2
1;5;4;3;1;3;2;2;3;2;1;4;1;3;16;1;1
1;5;5;2;1;3;1;.;3;2;2;4;1;1;42;3;2
1;5;3;1;1;1;2;3;3;1;1;7;3;1;56;4;2
.;.;4;3;2;3;.;3;2;2;3;2;1;3;48;4;2
5;5;5;1;1;.;2;3;1;.;1;5;1;3;41;3;2
1;5;5;3;1;1;2;3;3;1;1;5;3;1;42;3;2
1;2;5;1;1;1;2;3;3;2;3;7;4;3;56;4;2
5;1;4;2;2;3;2;3;2;2;1;6;1;1;29;2;1
1;5;4;3;1;1;2;3;3;2;1;2;1;3;62;5;1
1;4;3;2;.;1;1;1;2;2;2;7;1;98;68;5;1
1;5;4;1;1;1;1;2;3;1;3;2;3;1;61;5;1
2;5;3;3;1;1;1;2;3;2;1;4;1;1;16;1;2
1;5;5;2;1;3;1;1;3;1;1;6;3;1;19;1;1
1;5;4;2;1;3;2;1;3;1;1;2;1;3;25;2;1
5;4;3;1;1;3;1;2;3;2;3;5;.;3;26;2;2
4;1;5;2;2;1;2;2;3;2;3;5;5;2;20;1;1
1;5;5;3;1;3;1;1;1;1;1;5;1;3;45;4;1
.;.;.;3;.;.;.;3;3;2;.;1;1;98;60;5;2
1;1;5;2;1;1;2;3;3;2;1;2;3;1;76;5;1
1;5;5;3;1;3;1;2;1;1;2;5;2;3;24;1;1
1;1;2;1;1;3;1;1;2;1;2;2;1;1;38;3;1
1;5;5;3;.;1;1;1;1;1;2;2;.;1;68;5;2
1;5;5;1;1;3;1;2;3;1;1;6;5;1;21;1;2
1;5;2;1;1;1;1;3;3;1;1;7;4;2;71;5;2
1;5;5;3;1;3;1;3;3;2;1;4;1;2;16;1;2
1;5;5;2;1;2;2;1;2;2;1;5;1;2;31;2;2
2;1;4;2;1;3;1;3;3;1;1;4;2;2;25;2;1
1;5;5;3;1;1;1;1;2;1;1;8;2;1;65;5;2
1;5;5;1;1;1;1;1;2;1;1;5;2;2;56;4;1
1;5;3;2;2;1;1;3;3;2;1;2;1;1;65;5;2
2;4;2;2;2;1;2;3;2;2;3;4;2;1;59;4;2
1;5;5;2;1;1;1;1;1;2;2;3;1;1;42;3;2
1;5;4;3;1;1;1;2;2;1;1;4;3;2;17;1;1
1;5;3;3;1;3;1;3;1;1;1;2;3;1;68;5;1
1;5;3;2;1;1;2;2;3;1;1;5;3;5;41;3;1
1;2;5;3;1;3;2;3;2;2;1;5;1;2;25;2;2
2;1;5;2;1;3;1;2;2;2;3;7;2;3;43;3;2
1;5;5;1;1;3;1;1;3;1;1;5;4;1;42;3;2
1;4;4;1;1;3;2;3;3;1;3;5;1;1;26;2;2
1;5;4;1;1;3;1;2;3;.;1;5;1;1;21;1;2
1;5;4;2;1;3;1;2;2;2;3;1;1;3;33;2;1
1;5;3;1;1;1;2;3;1;1;1;6;4;1;23;1;1
1;5;5;2;1;3;1;3;3;2;3;4;3;2;25;2;1
1;5;3;2;1;3;2;3;2;2;2;2;1;5;53;4;2
1;5;5;2;1;3;1;3;2;1;3;2;1;98;80;5;2
5;5;4;3;1;3;2;1;2;1;.;4;1;1;19;1;2
1;4;5;2;1;2;2;3;3;2;1;1;1;98;57;4;2
